scenario,seed,strategy,net,gross,cost,contacts,n_pilots,n_finals,pilot_net,slope
S1 x0.5,5,confirm,1545922.0607013858,1598092.0607013858,52170.0,12678,19,10,319624.94329628925,
S1 x0.5,5,slope,1047567.5847500041,1146951.584750004,99384.0,14991,19,7,319624.94329628925,0.4748027057956551
S1 x0.5,5,nothing,0.0,0.0,0.0,0,0,0,0.0,
S1 x0.5,5,oracle,2720125.2509899493,2819291.2509899493,99166.0,11217,0,10,0.0,
S1 x0.5,6,agent,552883.4760921061,635637.4760921061,82754.0,14942,19,10,-3135.2550944139784,
S1 x0.5,6,noexp,2296190.127661582,2394770.127661582,98580.0,4680,0,7,0.0,
S1 x0.5,6,template,-179063.92009576436,-141247.92009576436,37816.0,9454,6,3,-70229.5709850017,
S1 x0.5,6,confirm,1583080.4653252477,1647998.4653252477,64918.0,13791,19,10,327712.0237257587,
S1 x0.5,6,slope,1442488.5019027283,1542126.5019027283,99638.0,13715,19,9,327712.0237257587,0.5576883293822992
S1 x0.5,6,nothing,0.0,0.0,0.0,0,0,0,0.0,
S1 x0.5,6,oracle,2720125.2509899493,2819291.2509899493,99166.0,11217,0,10,0.0,
S1 x0.5,7,agent,1629558.8931391542,1725950.8931391542,96392.0,13038,19,9,-1908.1426159632629,
S1 x0.5,7,noexp,2296190.127661582,2394770.127661582,98580.0,4680,0,7,0.0,
S1 x0.5,7,template,-189933.85306087518,-158997.85306087518,30936.0,7734,6,2,-71828.85854591781,
S1 x0.5,7,confirm,2148505.0687712366,2247217.0687712366,98712.0,7947,19,6,325612.8331156946,
S1 x0.5,7,slope,2056030.0139272558,2146956.0139272558,90926.0,7847,19,7,325612.8331156946,0.5432796486968685
S1 x0.5,7,nothing,0.0,0.0,0.0,0,0,0,0.0,
S1 x0.5,7,oracle,2720125.2509899493,2819291.2509899493,99166.0,11217,0,10,0.0,
S1 x0.5,8,agent,1923263.9834624839,2017301.9834624839,94038.0,14726,19,10,-5225.0318603615815,
S1 x0.5,8,noexp,2296190.127661582,2394770.127661582,98580.0,4680,0,7,0.0,
S1 x0.5,8,template,-47702.72597725467,-28790.72597725467,18912.0,4728,6,2,-73281.83627443651,
S1 x0.5,8,confirm,1054701.7613801148,1105327.7613801148,50626.0,10753,19,10,336069.17533217266,
S1 x0.5,8,slope,593787.3269191745,691627.3269191745,97840.0,14603,19,6,336069.17533217266,0.3849603223043509
S1 x0.5,8,nothing,0.0,0.0,0.0,0,0,0,0.0,
S1 x0.5,8,oracle,2720125.2509899493,2819291.2509899493,99166.0,11217,0,10,0.0,
S1 x0.5,9,agent,1978338.5284695297,2036806.5284695297,58468.0,14302,19,10,-23537.80785833726,
S1 x0.5,9,noexp,2296190.127661582,2394770.127661582,98580.0,4680,0,7,0.0,
S1 x0.5,9,template,-322136.7663533635,-279400.7663533635,42736.0,10684,6,3,-73157.07625382885,
S1 x0.5,9,confirm,520125.0575385259,601043.0575385259,80918.0,11219,19,10,319240.4784814754,
S1 x0.5,9,slope,350904.9932632246,450462.9932632246,99558.0,13917,19,10,319240.4784814754,0.47964898113206544
S1 x0.5,9,nothing,0.0,0.0,0.0,0,0,0,0.0,
S1 x0.5,9,oracle,2720125.2509899493,2819291.2509899493,99166.0,11217,0,10,0.0,
S2 x2,0,agent,9321679.952082647,9409853.952082647,88174.0,13741,19,10,26347.04507605839,
S2 x2,0,noexp,9480500.510646328,9579080.510646328,98580.0,4680,0,7,0.0,
S2 x2,0,template,-189133.37683586305,-177101.37683586305,12032.0,3008,6,1,-279396.71220803884,
S2 x2,0,confirm,9923641.044471772,10019573.044471772,95932.0,12370,19,10,1369410.1743659424,
S2 x2,0,slope,9834717.438253831,9914263.438253831,79546.0,12370,19,10,1369410.1743659424,2.435467411603316
S2 x2,0,nothing,0.0,0.0,0.0,0,0,0,0.0,
S2 x2,0,oracle,10917278.524832455,11016852.524832455,99574.0,14822,0,10,0.0,
S2 x2,1,agent,8798499.605266932,8889085.605266932,90586.0,10663,19,10,-2355.97688430147,
S2 x2,1,noexp,9480500.510646328,9579080.510646328,98580.0,4680,0,7,0.0,
S2 x2,1,template,-1102791.5580210974,-1053175.5580210974,49616.0,12404,6,4,-271730.90878002497,
S2 x2,1,confirm,10323896.078924563,10423410.078924563,99514.0,10649,19,10,1394321.7182623064,
S2 x2,1,slope,10727298.079683408,10808666.079683408,81368.0,12121,19,10,1394321.7182623064,2.492182493715403
S2 x2,1,nothing,0.0,0.0,0.0,0,0,0,0.0,
S2 x2,1,oracle,10917278.524832455,11016852.524832455,99574.0,14822,0,10,0.0,
S2 x2,2,agent,4008390.381558758,4061750.381558758,53360.0,11789,19,10,-45749.82664379741,
S2 x2,2,noexp,9480500.510646328,9579080.510646328,98580.0,4680,0,7,0.0,
S2 x2,2,template,-630365.9491877307,-599653.9491877307,30712.0,7678,6,3,-274008.3714549587,
S2 x2,2,confirm,9422674.488893004,9521764.488893004,99090.0,10701,19,10,1323819.090940122,
S2 x2,2,slope,10216018.809878584,10313172.809878584,97154.0,11612,19,10,1323819.090940122,2.475585563907225
S2 x2,2,nothing,0.0,0.0,0.0,0,0,0,0.0,
S2 x2,2,oracle,10917278.524832455,11016852.524832455,99574.0,14822,0,10,0.0,
S2 x2,3,agent,9284579.12243617,9381465.12243617,96886.0,10070,19,9,3939.9090935400054,
S2 x2,3,noexp,9480500.510646328,9579080.510646328,98580.0,4680,0,7,0.0,
S2 x2,3,template,-276961.8699553249,-273361.8699553249,3600.0,900,6,0,-276961.8699553249,
S2 x2,3,confirm,10030989.622204036,10130117.622204036,99128.0,12745,19,10,1353097.9395092204,
S2 x2,3,slope,10327833.026469301,10427543.026469301,99710.0,11612,19,10,1353097.9395092204,2.1451313693624012
S2 x2,3,nothing,0.0,0.0,0.0,0,0,0,0.0,
S2 x2,3,oracle,10917278.524832455,11016852.524832455,99574.0,14822,0,10,0.0,
S2 x2,4,agent,3605667.9346039034,3687239.9346039034,81572.0,14948,19,10,23871.92964680762,
S2 x2,4,noexp,9480500.510646328,9579080.510646328,98580.0,4680,0,7,0.0,
S2 x2,4,template,-2014641.3428868926,-1990809.3428868926,23832.0,5958,6,2,-269387.5614272684,
S2 x2,4,confirm,8127851.4889250435,8210921.4889250435,83070.0,14781,19,10,1341209.2365478561,
S2 x2,4,slope,9027316.610526275,9127306.610526275,99990.0,13310,19,10,1341209.2365478561,2.3803207399973507
S2 x2,4,nothing,0.0,0.0,0.0,0,0,0,0.0,
S2 x2,4,oracle,10917278.524832455,11016852.524832455,99574.0,14822,0,10,0.0,
S2 x2,5,agent,6099682.408700576,6199464.408700576,99782.0,14978,19,10,28037.9946834675,
S2 x2,5,noexp,9480500.510646328,9579080.510646328,98580.0,4680,0,7,0.0,
S2 x2,5,template,-711647.7732870724,-689367.7732870724,22280.0,5570,6,2,-273137.9901498187,
S2 x2,5,confirm,9016784.827321418,9107234.827321418,90450.0,14282,19,10,1323487.773185157,
S2 x2,5,slope,9577484.435970617,9675710.435970617,98226.0,13212,19,10,1323487.773185157,2.2159916380965052
S2 x2,5,nothing,0.0,0.0,0.0,0,0,0,0.0,
S2 x2,5,oracle,10917278.524832455,11016852.524832455,99574.0,14822,0,10,0.0,
S2 x2,6,agent,2494611.2414475274,2560031.2414475274,65420.0,14942,19,10,32458.979622344086,
S2 x2,6,noexp,9480500.510646328,9579080.510646328,98580.0,4680,0,7,0.0,
S2 x2,6,template,-602807.6803830574,-564991.6803830574,37816.0,9454,6,3,-270118.2839400068,
S2 x2,6,confirm,9637539.79143931,9734367.79143931,96828.0,12370,19,10,1355836.0949030349,
S2 x2,6,slope,9996774.277277026,10095318.277277026,98544.0,12045,19,10,1355836.0949030349,2.298885051087871
S2 x2,6,nothing,0.0,0.0,0.0,0,0,0,0.0,
S2 x2,6,oracle,10917278.524832455,11016852.524832455,99574.0,14822,0,10,0.0,
S2 x2,7,agent,7364202.389557004,7418926.389557004,54724.0,14669,19,10,37367.42953614695,
S2 x2,7,noexp,9480500.510646328,9579080.510646328,98580.0,4680,0,7,0.0,
S2 x2,7,template,-666927.4122435007,-635991.4122435007,30936.0,7734,6,2,-276515.43418367126,
S2 x2,7,confirm,10304821.311815336,10404457.311815336,99636.0,10649,19,10,1347439.3324627783,
S2 x2,7,slope,11053642.597137894,11150216.597137894,96574.0,12121,19,10,1347439.3324627783,2.28456873054469
S2 x2,7,nothing,0.0,0.0,0.0,0,0,0,0.0,
S2 x2,7,oracle,10917278.524832455,11016852.524832455,99574.0,14822,0,10,0.0,
S2 x2,8,agent,8250110.4455400035,8335836.4455400035,85726.0,13183,19,10,-63618.296519552976,
S2 x2,8,noexp,9480500.510646328,9579080.510646328,98580.0,4680,0,7,0.0,
S2 x2,8,template,-134074.90390901867,-115162.90390901869,18912.0,4728,6,2,-282327.34509774606,
S2 x2,8,confirm,7951740.188816914,8037920.188816914,86180.0,13055,19,10,1343224.9190100594,
S2 x2,8,slope,8850531.893026348,8950309.893026348,99778.0,13600,19,10,1343224.9190100594,2.1271441399119984
S2 x2,8,nothing,0.0,0.0,0.0,0,0,0,0.0,
S2 x2,8,oracle,10917278.524832455,11016852.524832455,99574.0,14822,0,10,0.0,
S2 x2,9,agent,4418474.629898203,4500728.629898203,82254.0,11721,19,10,-49151.231433349036,
S2 x2,9,noexp,9480500.510646328,9579080.510646328,98580.0,4680,0,7,0.0,
S2 x2,9,template,-1160339.065413454,-1117603.065413454,42736.0,10684,6,3,-281828.3050153154,
S2 x2,9,confirm,8393339.683263795,8491807.683263795,98468.0,14993,19,10,1321949.9139259015,
S2 x2,9,slope,8272402.038595652,8355774.038595652,83372.0,14387,19,10,1321949.9139259015,2.220331640042122
S2 x2,9,nothing,0.0,0.0,0.0,0,0,0,0.0,
S2 x2,9,oracle,10917278.524832455,11016852.524832455,99574.0,14822,0,10,0.0,
S3 downsell,0,agent,3226695.7863458274,3321397.7863458274,94702.0,13613,19,10,-224763.77589246343,
S3 downsell,0,noexp,3848092.1749648536,3946672.1749648536,98580.0,4680,0,7,0.0,
S3 downsell,0,template,-262638.08557389845,-250606.08557389845,12032.0,3008,6,1,-260856.68620078152,
S3 downsell,0,confirm,3309242.325050868,3388216.325050868,78974.0,10457,19,9,352137.9022811585,
S3 downsell,0,slope,3380256.692919945,3471364.692919945,91108.0,10167,19,10,352137.9022811585,1.100441562990254
S3 downsell,0,nothing,0.0,0.0,0.0,0,0,0,0.0,
S3 downsell,0,oracle,4526685.835387779,4626617.835387779,99932.0,9332,0,10,0.0,
S3 downsell,1,agent,3223119.5413780375,3291979.5413780375,68860.0,10663,19,10,-268807.5593203746,
S3 downsell,1,noexp,3848092.1749648536,3946672.1749648536,98580.0,4680,0,7,0.0,
S3 downsell,1,template,-1101025.8308814964,-1051409.8308814964,49616.0,12404,6,4,-254221.64505898525,
S3 downsell,1,confirm,3559074.8981535956,3658188.8981535956,99114.0,11782,19,10,343107.97350110766,
S3 downsell,1,slope,3571129.126557521,3670765.126557521,99636.0,11802,19,10,343107.97350110766,1.1575565790271698
S3 downsell,1,nothing,0.0,0.0,0.0,0,0,0,0.0,
S3 downsell,1,oracle,4526685.835387779,4626617.835387779,99932.0,9332,0,10,0.0,
S3 downsell,2,agent,2531420.0589488316,2594952.0589488316,63532.0,14443,19,10,-211747.16456972546,
S3 downsell,2,noexp,3848092.1749648536,3946672.1749648536,98580.0,4680,0,7,0.0,
S3 downsell,2,template,-618213.4058012785,-587501.4058012785,30712.0,7678,6,3,-256575.93355649378,
S3 downsell,2,confirm,2917425.011996297,3005195.011996297,87770.0,13757,19,10,333998.78650026966,
S3 downsell,2,slope,2995171.9958481677,3087845.9958481677,92674.0,13741,19,10,333998.78650026966,1.1409883975399566
S3 downsell,2,nothing,0.0,0.0,0.0,0,0,0,0.0,
S3 downsell,2,oracle,4526685.835387779,4626617.835387779,99932.0,9332,0,10,0.0,
S3 downsell,3,agent,3400474.2256402653,3497360.2256402653,96886.0,9700,19,8,-245495.26919016006,
S3 downsell,3,noexp,3848092.1749648536,3946672.1749648536,98580.0,4680,0,7,0.0,
S3 downsell,3,template,-258921.96197094626,-255321.96197094626,3600.0,900,6,0,-258921.96197094626,
S3 downsell,3,confirm,2489212.567257625,2585884.567257625,96672.0,11478,19,9,344893.894371046,
S3 downsell,3,slope,2415309.4081056844,2505931.4081056844,90622.0,11478,19,8,344893.894371046,0.8114688795954714
S3 downsell,3,nothing,0.0,0.0,0.0,0,0,0,0.0,
S3 downsell,3,oracle,4526685.835387779,4626617.835387779,99932.0,9332,0,10,0.0,
S3 downsell,4,agent,1490548.1693637616,1555536.1693637616,64988.0,14843,19,10,-213621.5021962789,
S3 downsell,4,noexp,3848092.1749648536,3946672.1749648536,98580.0,4680,0,7,0.0,
S3 downsell,4,template,-1932099.5804436603,-1908267.5804436603,23832.0,5958,6,2,-251738.01640511779,
S3 downsell,4,confirm,2889174.823888165,2987052.823888165,97878.0,14813,19,9,341244.4952967021,
S3 downsell,4,slope,2947370.564030532,3047324.564030532,99954.0,14904,19,10,341244.4952967021,1.0454950768360831
S3 downsell,4,nothing,0.0,0.0,0.0,0,0,0,0.0,
S3 downsell,4,oracle,4526685.835387779,4626617.835387779,99932.0,9332,0,10,0.0,
S3 downsell,5,agent,2281914.1982981516,2379218.1982981516,97304.0,14444,19,10,-213261.76378988934,
S3 downsell,5,noexp,3848092.1749648536,3946672.1749648536,98580.0,4680,0,7,0.0,
S3 downsell,5,template,-608633.2802298032,-586353.2802298032,22280.0,5570,6,2,-255650.02227223865,
S3 downsell,5,confirm,3037550.3784666015,3115708.3784666015,78158.0,14282,19,10,330396.3038572752,
S3 downsell,5,slope,3034194.773616353,3111958.773616353,77764.0,14282,19,10,330396.3038572752,0.881165974935238
S3 downsell,5,nothing,0.0,0.0,0.0,0,0,0,0.0,
S3 downsell,5,oracle,4526685.835387779,4626617.835387779,99932.0,9332,0,10,0.0,
S3 downsell,6,agent,352783.2043262584,432451.2043262584,79668.0,10596,19,10,-206716.17672245682,
S3 downsell,6,noexp,3848092.1749648536,3946672.1749648536,98580.0,4680,0,7,0.0,
S3 downsell,6,template,-731703.7405937613,-693887.7405937613,37816.0,9454,6,3,-252502.51706695868,
S3 downsell,6,confirm,2546660.0432715854,2619980.0432715854,73320.0,9435,19,9,324368.2778540804,
S3 downsell,6,slope,2643428.51421781,2721610.51421781,78182.0,9515,19,9,324368.2778540804,0.9631886851408312
S3 downsell,6,nothing,0.0,0.0,0.0,0,0,0,0.0,
S3 downsell,6,oracle,4526685.835387779,4626617.835387779,99932.0,9332,0,10,0.0,
S3 downsell,7,agent,2882985.101756661,2939411.101756661,56426.0,12650,19,9,-274408.45814968087,
S3 downsell,7,noexp,3848092.1749648536,3946672.1749648536,98580.0,4680,0,7,0.0,
S3 downsell,7,template,-750620.423745499,-719684.423745499,30936.0,7734,6,2,-258569.597817815,
S3 downsell,7,confirm,3395273.007987519,3493985.007987519,98712.0,7979,19,7,341967.2733457718,
S3 downsell,7,slope,3549635.200115314,3649015.200115314,99380.0,8429,19,10,341967.2733457718,0.9494592905387498
S3 downsell,7,nothing,0.0,0.0,0.0,0,0,0,0.0,
S3 downsell,7,oracle,4526685.835387779,4626617.835387779,99932.0,9332,0,10,0.0,
S3 downsell,8,agent,3083844.8712351737,3181466.8712351737,97622.0,13412,19,10,-214589.87955984345,
S3 downsell,8,noexp,3848092.1749648536,3946672.1749648536,98580.0,4680,0,7,0.0,
S3 downsell,8,template,-252386.0915752009,-233474.0915752009,18912.0,4728,6,2,-264065.26878754224,
S3 downsell,8,confirm,2493409.6250487333,2567403.6250487333,73994.0,14668,19,10,338712.22352765076,
S3 downsell,8,slope,2456912.371224847,2556894.371224847,99982.0,13037,19,10,338712.22352765076,0.790460678062883
S3 downsell,8,nothing,0.0,0.0,0.0,0,0,0,0.0,
S3 downsell,8,oracle,4526685.835387779,4626617.835387779,99932.0,9332,0,10,0.0,
S3 downsell,9,agent,2739793.9720417834,2836381.9720417834,96588.0,14382,19,10,-263546.97673988884,
S3 downsell,9,noexp,3848092.1749648536,3946672.1749648536,98580.0,4680,0,7,0.0,
S3 downsell,9,template,-1113220.1167834809,-1070484.1167834809,42736.0,10684,6,3,-263313.1916969059,
S3 downsell,9,confirm,1751458.6240382697,1828402.6240382697,76944.0,14961,19,10,329861.08808233344,
S3 downsell,9,slope,1776690.3168068773,1869482.3168068773,92792.0,14834,19,10,329861.08808233344,0.8857344736748529
S3 downsell,9,nothing,0.0,0.0,0.0,0,0,0,0.0,
S3 downsell,9,oracle,4526685.835387779,4626617.835387779,99932.0,9332,0,10,0.0,
S4 reversed,0,agent,-171359.99476405937,-73935.99476405936,97424.0,11861,19,10,-538919.4565516552,
S4 reversed,0,noexp,629038.5454416091,727618.5454416091,98580.0,4680,0,7,0.0,
S4 reversed,0,template,-183059.893921914,-171027.893921914,12032.0,3008,6,1,-233561.36874157243,
S4 reversed,0,confirm,653567.4032358115,752117.4032358115,98550.0,8029,19,10,-504001.42294537893,
S4 reversed,0,slope,51387.001283219404,135243.0012832194,83856.0,6879,19,2,-504001.42294537893,-0.01049764691308916
S4 reversed,0,nothing,0.0,0.0,0.0,0,0,0,0.0,
S4 reversed,0,oracle,3166221.1660549147,3217007.1660549147,50786.0,9516,0,10,0.0,
S4 reversed,1,agent,19509.94358246158,118137.94358246158,98628.0,11421,19,10,-644863.3281168619,
