scenario,seed,strategy,net,gross,cost,contacts,n_pilots,n_finals,pilot_net,slope
S0 mock,0,agent,3891540.632937532,3985008.632937532,93468.0,11910,19,10,5676.61987832337,
S0 mock,0,noexp,4690960.255323164,4789540.255323164,98580.0,4680,0,7,0.0,
S0 mock,0,template,-1019431.0606441048,-995599.0606441048,23832.0,5958,6,2,-141498.35610401942,
S0 mock,0,confirm,4887123.974045424,4983631.974045424,96508.0,12257,19,10,677207.0871829712,
S0 mock,0,slope,4567038.361311428,4647706.361311428,80668.0,11037,19,10,677207.0871829712,1.2745645108258974
S0 mock,0,nothing,0.0,0.0,0.0,0,0,0,0.0,
S0 mock,0,oracle,5422899.914487408,5522581.914487408,99682.0,10483,0,10,0.0,
S0 mock,1,agent,4649284.765592365,4737458.765592365,88174.0,11033,19,10,-8648.198016769264,
S0 mock,1,noexp,4690960.255323164,4789540.255323164,98580.0,4680,0,7,0.0,
S0 mock,1,template,-576203.7790105487,-526587.7790105487,49616.0,12404,6,4,-137665.45439001248,
S0 mock,1,confirm,4693004.078894695,4787384.078894695,94380.0,11782,19,10,689662.8591311532,
S0 mock,1,slope,4813246.191634002,4912882.191634002,99636.0,11895,19,10,689662.8591311532,1.3313846792450212
S0 mock,1,nothing,0.0,0.0,0.0,0,0,0,0.0,
S0 mock,1,oracle,5422899.914487408,5522581.914487408,99682.0,10483,0,10,0.0,
S0 mock,2,agent,3599243.1393413637,3658903.1393413637,59660.0,14420,19,10,6813.104081155729,
S0 mock,2,noexp,4690960.255323164,4789540.255323164,98580.0,4680,0,7,0.0,
S0 mock,2,template,-338970.97459386534,-299826.97459386534,39144.0,9786,6,4,-138804.18572747934,
S0 mock,2,confirm,4316315.322138732,4380619.322138732,64304.0,12296,19,10,654411.545470061,
S0 mock,2,slope,4421213.211863318,4492477.211863318,71264.0,12296,19,10,654411.545470061,1.315130457967188
S0 mock,2,nothing,0.0,0.0,0.0,0,0,0,0.0,
S0 mock,2,oracle,5422899.914487408,5522581.914487408,99682.0,10483,0,10,0.0,
S0 mock,3,agent,4593846.561218085,4690732.561218085,96886.0,10070,19,9,-5530.045453229997,
S0 mock,3,noexp,4690960.255323164,4789540.255323164,98580.0,4680,0,7,0.0,
S0 mock,3,template,-140280.93497766246,-136680.93497766246,3600.0,900,6,0,-140280.93497766246,
S0 mock,3,confirm,3864941.5727239177,3964505.5727239177,99564.0,11068,19,10,669050.9697546102,
S0 mock,3,slope,3864941.5727239177,3964505.5727239177,99564.0,11068,19,10,669050.9697546102,0.9842884879286601
S0 mock,3,nothing,0.0,0.0,0.0,0,0,0,0.0,
S0 mock,3,oracle,5422899.914487408,5522581.914487408,99682.0,10483,0,10,0.0,
S0 mock,4,agent,2698553.632572037,2762749.632572037,64196.0,14996,19,10,5199.263379766231,
S0 mock,4,noexp,4690960.255323164,4789540.255323164,98580.0,4680,0,7,0.0,
S0 mock,4,template,-1019236.6714434463,-995404.6714434463,23832.0,5958,6,2,-136493.7807136342,
S0 mock,4,confirm,4097048.140542174,4189778.140542174,92730.0,14840,19,10,663106.6182739281,
S0 mock,4,slope,4264155.456232695,4364087.456232695,99932.0,14983,19,10,663106.6182739281,1.2195281184634506
S0 mock,4,nothing,0.0,0.0,0.0,0,0,0,0.0,
S0 mock,4,oracle,5422899.914487408,5522581.914487408,99682.0,10483,0,10,0.0,
S0 mock,5,agent,3444820.051116503,3542916.051116503,98096.0,14480,19,10,5751.325525353634,
S0 mock,5,noexp,4690960.255323164,4789540.255323164,98580.0,4680,0,7,0.0,
S0 mock,5,template,-366963.8866435362,-344683.8866435362,22280.0,5570,6,2,-138368.99507490936,
S0 mock,5,confirm,4545368.678010012,4641102.678010012,95734.0,14299,19,10,654245.8865925785,
S0 mock,5,slope,4575363.139552996,4672833.139552996,97470.0,14283,19,10,654245.8865925785,1.0551990165626053
S0 mock,5,nothing,0.0,0.0,0.0,0,0,0,0.0,
S0 mock,5,oracle,5422899.914487408,5522581.914487408,99682.0,10483,0,10,0.0,
S0 mock,6,agent,1214595.6207237637,1280015.6207237637,65420.0,14942,19,10,8729.489811172043,
S0 mock,6,noexp,4690960.255323164,4789540.255323164,98580.0,4680,0,7,0.0,
S0 mock,6,template,-320311.8401915287,-282495.8401915287,37816.0,9454,6,3,-136859.1419700034,
S0 mock,6,confirm,3590223.3895137063,3664739.3895137063,74516.0,14284,19,10,670420.0474515174,
S0 mock,6,slope,3661511.455351717,3742273.455351717,80762.0,9638,19,10,670420.0474515174,1.1380872366174897
S0 mock,6,nothing,0.0,0.0,0.0,0,0,0,0.0,
S0 mock,6,oracle,5422899.914487408,5522581.914487408,99682.0,10483,0,10,0.0,
S0 mock,7,agent,3349092.7930510184,3445308.7930510184,96216.0,13038,19,10,11183.714768073474,
S0 mock,7,noexp,4690960.255323164,4789540.255323164,98580.0,4680,0,7,0.0,
S0 mock,7,template,-348931.70612175035,-317995.70612175035,30936.0,7734,6,2,-140057.71709183563,
S0 mock,7,confirm,4771307.744251508,4870687.744251508,99380.0,9699,19,9,666221.6662313892,
S0 mock,7,slope,4591664.957960017,4691044.957960017,99380.0,8449,19,10,666221.6662313892,1.1237093426461422
S0 mock,7,nothing,0.0,0.0,0.0,0,0,0,0.0,
S0 mock,7,oracle,5422899.914487408,5522581.914487408,99682.0,10483,0,10,0.0,
S0 mock,8,agent,4118278.443606548,4204004.443606548,85726.0,13183,19,10,4549.936279276837,
S0 mock,8,noexp,4690960.255323164,4789540.255323164,98580.0,4680,0,7,0.0,
S0 mock,8,template,-76493.45195450934,-57581.45195450934,18912.0,4728,6,2,-142963.67254887303,
S0 mock,8,confirm,3727613.75815325,3800647.75815325,73034.0,12953,19,10,664114.4595050297,
S0 mock,8,slope,3727613.75815325,3800647.75815325,73034.0,12953,19,10,664114.4595050297,0.9663515183780979
S0 mock,8,nothing,0.0,0.0,0.0,0,0,0,0.0,
S0 mock,8,oracle,5422899.914487408,5522581.914487408,99682.0,10483,0,10,0.0,
S0 mock,9,agent,3972591.5470670825,4069003.5470670825,96412.0,14302,19,10,-32075.615716674518,
S0 mock,9,noexp,4690960.255323164,4789540.255323164,98580.0,4680,0,7,0.0,
S0 mock,9,template,-601537.532706727,-558801.532706727,42736.0,10684,6,3,-142714.1525076577,
S0 mock,9,confirm,2760603.109536932,2833227.109536932,72624.0,14934,19,10,653476.9569629508,
S0 mock,9,slope,2766411.902364812,2826923.902364812,60512.0,12803,19,10,653476.9569629508,1.0598765341020842
S0 mock,9,nothing,0.0,0.0,0.0,0,0,0,0.0,
S0 mock,9,oracle,5422899.914487408,5522581.914487408,99682.0,10483,0,10,0.0,
S1 x0.5,0,agent,1918656.7079703836,2011750.7079703836,93094.0,14971,19,10,-4661.690060838315,
S1 x0.5,0,noexp,2296190.127661582,2394770.127661582,98580.0,4680,0,7,0.0,
S1 x0.5,0,template,-521631.5303220524,-497799.5303220524,23832.0,5958,6,2,-72549.17805200971,
S1 x0.5,0,confirm,2140570.517044166,2231550.517044166,90980.0,10087,19,10,331105.5435914856,
S1 x0.5,0,slope,2002563.855122345,2075881.855122345,73318.0,10055,19,9,331105.5435914856,0.694113060437188
S1 x0.5,0,nothing,0.0,0.0,0.0,0,0,0,0.0,
S1 x0.5,0,oracle,2720125.2509899493,2819291.2509899493,99166.0,11217,0,10,0.0,
S1 x0.5,1,agent,2234763.065572868,2316057.065572868,81294.0,11033,19,10,-11824.099008384632,
S1 x0.5,1,noexp,2296190.127661582,2394770.127661582,98580.0,4680,0,7,0.0,
S1 x0.5,1,template,-323293.88950527436,-263293.88950527436,60000.0,15000,6,5,-70632.72719500624,
S1 x0.5,1,confirm,2198802.38757761,2286574.38757761,87772.0,14780,19,10,337333.4295655766,
S1 x0.5,1,slope,2059346.7116211727,2141334.7116211727,81988.0,11300,19,10,337333.4295655766,0.7509857720098307
S1 x0.5,1,nothing,0.0,0.0,0.0,0,0,0,0.0,
S1 x0.5,1,oracle,2720125.2509899493,2819291.2509899493,99166.0,11217,0,10,0.0,
S1 x0.5,2,agent,1737475.795432967,1796563.795432967,59088.0,14322,19,10,-4093.4479594221357,
S1 x0.5,2,noexp,2296190.127661582,2394770.127661582,98580.0,4680,0,7,0.0,
S1 x0.5,2,template,-189057.48729693267,-149913.48729693267,39144.0,9786,6,4,-71202.09286373967,
S1 x0.5,2,confirm,1701863.110587112,1795963.110587112,94100.0,14174,19,10,319707.7727350305,
S1 x0.5,2,slope,1485980.812768655,1573408.812768655,87428.0,13667,19,10,319707.7727350305,0.7349029049971694
S1 x0.5,2,nothing,0.0,0.0,0.0,0,0,0,0.0,
S1 x0.5,2,oracle,2720125.2509899493,2819291.2509899493,99166.0,11217,0,10,0.0,
S1 x0.5,3,agent,2248368.493481793,2345254.493481793,96886.0,10070,19,9,-10376.809853864444,
S1 x0.5,3,noexp,2296190.127661582,2394770.127661582,98580.0,4680,0,7,0.0,
S1 x0.5,3,template,-537146.0807152004,-521746.08071520034,15400.0,3850,6,1,-71940.46748883123,
S1 x0.5,3,confirm,1740314.6935983156,1840186.6935983156,99872.0,9348,19,9,327027.4848773051,
S1 x0.5,3,slope,1210767.573697668,1294423.573697668,83656.0,8466,19,5,327027.4848773051,0.4038670472117893
S1 x0.5,3,nothing,0.0,0.0,0.0,0,0,0,0.0,
S1 x0.5,3,oracle,2720125.2509899493,2819291.2509899493,99166.0,11217,0,10,0.0,
S1 x0.5,4,agent,1317178.8162860186,1381374.8162860186,64196.0,14996,19,10,-4900.3683101168845,
S1 x0.5,4,noexp,2296190.127661582,2394770.127661582,98580.0,4680,0,7,0.0,
S1 x0.5,4,template,-521534.33572172315,-497702.33572172315,23832.0,5958,6,2,-70046.8903568171,
S1 x0.5,4,confirm,1897735.996681594,1976041.996681594,78306.0,14792,19,10,324055.30913696403,
S1 x0.5,4,slope,1808140.4369188948,1884112.4369188948,75972.0,14630,19,10,324055.30913696403,0.6391318076965004
S1 x0.5,4,nothing,0.0,0.0,0.0,0,0,0,0.0,
S1 x0.5,4,oracle,2720125.2509899493,2819291.2509899493,99166.0,11217,0,10,0.0,
S1 x0.5,5,agent,1823803.0566848263,1923487.0566848263,99684.0,14868,19,10,-4624.337237323183,
S1 x0.5,5,noexp,2296190.127661582,2394770.127661582,98580.0,4680,0,7,0.0,
S1 x0.5,5,template,-194621.9433217681,-172341.9433217681,22280.0,5570,6,2,-70984.49753745468,
